Dc,ROMERO,Ata
Dc,ROMAGNOLI,Mil
C;T,SVANBERG,Bol
C;T,NAINGGOLAN,Cag
A,PALACIO,Bol
A,CORREA,Laz
T,PEREIRA A.,Laz
Pc,BONAZZOLI,Tor
Pc,ZAZA,Tor
M;C,EKDAL,Sam
M;C,STROOTMAN,Gen
E;W,LAZOVIC,Ver
Ds;E,ZEEGELAAR,Udi
Dd;E,FARAONI,Ver
Dd;E,ZAPPA,Cag
Dd;Dc,TOMIYASU,Bol
Dd;Dc,MILENKOVIC,Fio
Dc,KJAER,Mil
Dc,KOULIBALY,Nap
Dc,MANOLAS,Nap
C;T,KURTIC,Par
C;T,ILIC,Ver
C,BENTANCUR,Juv
C,VIDAL,Int
A,KOKORIN,Fio
T,GOJAK,Tor
Por,SKORUPSKI,Bol
Por,PAU LOPEZ,Rom
Por,PROVEDEL,Spe
Pc,PICCOLI,Spe
Pc,GAICH,Ben
M;C,TAMEZE,Ver
Ds;E,ANSALDI,Tor
Ds;Dc,SAMIR,Udi
Dd;E,ZAPPACOSTA,Gen
Dd;Dc;E,D'AMBROSIO,Int
Dc,GOLEMIC,Cro
Dc,PEZZELLA GER.,Fio
Dc,DE LIGT,Juv
C;W;T,BONAVENTURA,Fio
C;T,RUIZ,Nap
C,MARIN,Cag
C,ARTHUR,Juv
A,MAN,Par
W;T;A,VERDI,Tor
W;T,RAMIREZ,Sam
W;A,SKOV OLSEN,Bol
W;A,CARLES PEREZ,Rom
W;A,HAUGE,Mil
W,CASTILLEJO,Mil
T,ERIKSEN,Int
T,ZANIOLO,Rom
Por,CRAGNO,Cag
Por,MIRANTE,Rom
Pc,NESTOROVSKI,Udi
Pc,RIVIERE,Cro
M;C,RICCI M.,Spe
M;C,MEITE',Mil
M,BAKAYOKO,Nap
E,MARUSIC,Laz
Ds;E,MARIO RUI,Nap
Ds;E,AUGELLO,Sam
Ds;E,BASTONI S.,Spe
Ds;Dc;E,KOLAROV,Int
Dd;Dc;E,MULDUR,Sas
Dc,DJIMSITI,Ata
Dc,PALOMINO,Ata
Dc,BASTONI,Int
Dc,IBANEZ,Rom
Dc,FERRARI G.,Sas
Dc,TOMORI,Mil
C;T,PASALIC,Ata
C;T,ARSLAN,Udi
C,ZANELLATO,Cro
A,COLLEY E.,Ver
A,PANDEV,Gen
A,KARAMOH,Par
A,VERDE,Spe
W;T,LOPEZ M.,Sas
W;A,PERISIC,Int
