C,T,M,Nome,Squadra,Quotazione iniziale
P,P,Pc,DI CARMINE,Cro,4
P,P,M;C,ESCALANTE,Laz,4
P,P,M;C,LUCAS LEIVA,Laz,4
P,P,M;C,PAROLO,Laz,4
P,P,M;C,BENNACER,Mil,4
P,P,M;C,OBIANG,Sas,4
P,P,Ds;E,MURRU,Tor,4
P,P,Ds;E,KYRIAKOPOULOS,Sas,4
P,P,Ds;E,RODRIGUEZ R.,Tor,4
P,P,Ds;Dc,IGOR,Fio,4
P,P,Ds;Dc,BUONGIORNO,Tor,4
P,P,Dd;E,MOLINA N.,Udi,4
P,P,Dd;E,RISPOLI,Cro,4
P,P,Dd;Ds;E,HICKEY,Bol,4
P,P,Dd;Dc;E,PATRIC,Laz,4
P,P,Dd;Dc,CECCHERINI,Ver,4
P,P,Dd;Dc,KALULU,Mil,4
P,P,Dc,GLIK,Ben,4
P,P,Dc,TUIA,Ben,4
P,P,Dc,BANI,Par,4
P,P,Dc,CEPPITELLI,Cag,4
P,P,Dc,WALUKIEWICZ,Cag,4
P,P,Dc,GOLDANIGA,Gen,4
P,P,Dc,TONELLI,Sam,4
P,P,Dc,AYHAN,Sas,4
P,P,Dc,MARLON,Sas,4
P,P,Dc,TERZI,Spe,4
P,P,Dc,LYANCO,Tor,4
P,P,Dc,OSORIO,Par,4
P,P,C;W,TELLO,Ben,4
P,P,C;T,BESSA,Ver,4
P,P,C,IONITA,Ben,4
P,P,C,RABIOT,Juv,4
P,P,C,TONALI,Mil,4
P,P,W;A,HARASLIN,Sas,3
P,P,Por,MONTIPO',Ben,3
P,P,Pc,SANTANDER,Bol,3
P,P,Pc,SALCEDO E.,Ver,3
P,P,M;C,DEIOLA,Cag,3
P,P,M;C,DABO,Ben,3
P,P,M;C,DUNCAN,Cag,3
P,P,M;C,CYPRIEN,Par,3
P,P,M;C,ROVELLA,Gen,3
P,P,M,SOHM,Par,3
P,P,E,FARES,Laz,3
P,P,Ds;E,FOULON,Ben,3
P,P,Ds;E,DIJKS,Bol,3
P,P,Ds;E,FRABOTTA,Juv,3
P,P,Ds;Dc,DJIDJI,Cro,3
P,P,Dd;E,FERRER,Spe,3
P,P,Dd;E,VOJVODA,Tor,3
P,P,Dd;E,RUEGG,Ver,3
P,P,Dd;Ds;E,TOLJAN,Sas,3
P,P,Dd;Ds;E,DALOT,Mil,3
P,P,Dd;Dc,MAKSIMOVIC,Nap,3
P,P,Dd;Dc,IACOPONI,Par,3
P,P,Dc,ZAPATA C.,Gen,3
P,P,Dc,RANOCCHIA,Int,3
P,P,Dc,BRUNO ALVES,Par,3
P,P,Dc,ERLIC,Spe,3
P,P,Dc,N'KOULOU,Tor,3
P,P,Dc,DE MAIO,Udi,3
P,P,Dc,MAGALLAN,Cro,3
P,P,Dc,ISMAJLI,Spe,3
P,P,Dc,MARTINEZ QUARTA,Fio,3
P,P,Dc,HOEDT,Laz,3
P,P,C,GRASSI,Par,3
P,P,C,BASELLI,Tor,3
P,P,C,MELEGONI,Gen,3
P,P,W;T;A,PEREIRO,Cag,2
P,P,W;T,EYSSERIC,Fio,2
P,P,W,TRAMONI M.,Cag,2
P,P,T;A,BRUNETTA,Par,2
P,P,Por,RAFAEL,Spe,2
P,P,Por,PALEARI,Gen,2
P,P,Pc,MONCINI,Ben,2
P,P,Pc,PINAMONTI,Int,2
P,P,Pc,DI SERIO,Ben,2
P,P,M;C,CATALDI,Laz,2
P,P,M;C,LOBOTKA,Nap,2
P,P,M;C,DIAWARA,Rom,2
P,P,M;C,ACAMPORA,Spe,2
P,P,M;C,CIGARINI,Cro,2
P,P,E;C,LULIC,Laz,2
P,P,E,ANDERSON D.,Laz,2
P,P,Ds;E,PELLEGRINI LU.,Gen,2
P,P,Ds;E,GHOULAM,Nap,2
P,P,Ds;E,CALAFIORI,Rom,2
P,P,Ds;E,RUGGERI,Ata,2
P,P,Ds;Dc,CARBONI,Cag,2
P,P,Ds;Dc,LUPERTO,Cro,2
P,P,Ds;Dc,JUAN JESUS,Rom,2
P,P,Ds;Dc,DELL'ORCO,Spe,2
P,P,Dd;E,CONTI,Par,2
P,P,Dd;E,MALCUIT,Fio,2
P,P,Dd;E,VIGNALI,Spe,2
P,P,Dd;E,REYNOLDS,Rom,2
P,P,Dd;Ds;E,VENUTI,Fio,2
P,P,Dd;Dc,FERRARI A.,Sam,2
P,P,Dc,CALDARA,Ata,2
P,P,Dc,SUTALO,Ata,2
P,P,Dc,KLAVAN,Cag,2
P,P,Dc,CUOMO,Cro,2
P,P,Dc,GABBIA,Mil,2
P,P,Dc,MUSACCHIO,Laz,2
P,P,Dc,CETIN,Ver,2
P,P,Dc,VALENTI,Par,2
P,P,Dc,PASTINA,Ben,2
P,P,C;W,LERIS,Sam,2
P,P,C;T,BENALI,Cro,2
P,P,C;T,KRUNIC,Mil,2
P,P,C,BORJA VALERO,Fio,2
P,P,A,SANSONE,Bol,2
P,P,A,OUNAS,Cro,2
P,P,A,MIHAILA,Par,2
P,P,A,ODDEI,Sas,2
P,P,W,SPROCATI,Par,1
P,P,T;A,MALDINI,Mil,1
P,P,T;A,MONTIEL,Fio,1
P,P,T,SAPONARA,Spe,1
P,P,T,PASTORE,Rom,1
P,P,T,ROJAS,Cro,1
P,P,Por,ROSSI F.,Ata,1
P,P,Por,GORI P.,Ben,1
P,P,Por,MANFREDINI,Ben,1
P,P,Por,BREZA,Bol,1
P,P,Por,VICARIO,Cag,1
P,P,Por,ARESTI,Cag,1
P,P,Por,CIOCCI,Cag,1
P,P,Por,FESTA,Cro,1
P,P,Por,BRANCOLINI,Fio,1
P,P,Por,TERRACCIANO,Fio,1
P,P,Por,MARCHETTI,Gen,1
P,P,Por,RADU I.,Int,1
P,P,Por,PINSOGLIO,Juv,1
P,P,Por,DONNARUMMA AN.,Mil,1
P,P,Por,CONTINI,Nap,1
P,P,Por,COLOMBI,Par,1
P,P,Por,RAVAGLIA,Sam,1
P,P,Por,PEGOLO,Sas,1
P,P,Por,TURATI,Sas,1
P,P,Por,KRAPIKAS,Spe,1
P,P,Por,ROSATI,Fio,1
P,P,Por,UJKANI,Tor,1
P,P,Por,BERARDI A.,Ver,1
P,P,Por,PANDUR,Ver,1
P,P,Por,ZOET,Spe,1
P,P,Por,TATARUSANU,Mil,1
P,P,Por,PADELLI,Int,1
P,P,Por,CRESPI,Cro,1
P,P,Por,ZIMA,Gen,1
P,P,Por,BOER,Rom,1
P,P,Por,AVOGADRI,Sam,1
P,P,Por,ALIA,Laz,1
P,P,Por,LETICA,Sam,1
P,P,Por,SCUFFET,Udi,1
P,P,Por,MILINKOVIC-SAVIC V.,Tor,1
P,P,Por,GASPARINI,Udi,1
P,P,Por,RAVAGLIA F.,Bol,1
P,P,Por,RINALDI,Par,1
P,P,Por,FARELLI,Rom,1
P,P,Por,RADUNOVIC,Ata,1
P,P,Por,FUZATO,Rom,1
P,P,Pc,CERRI,Cag,1
P,P,Pc,LA GUMINA,Sam,1
P,P,Pc,DRAGUS,Cro,1
P,P,M;C,CASSATA,Gen,1
P,P,M;C,VECINO,Int,1
P,P,M;C,VIEIRA,Ver,1
P,P,M;C,JAJALO,Udi,1
P,P,M;C,LEO' SENA,Spe,1
P,P,M;C,MAKENGO,Udi,1
P,P,M,MAGNANELLI,Sas,1
P,P,Ds;E,MAZZOTTA,Cro,1
P,P,Ds;E,TRIPALDELLI,Cag,1
P,P,Ds;E,RAMOS,Spe,1
P,P,Ds;E,BARRECA,Fio,1
P,P,Ds;E,UDOGIE,Ver,1
P,P,Ds;E,ZAGARITIS,Par,1
P,P,Ds;Dc;E,REGINI,Sam,1
P,P,Ds;Dc,PELUSO,Sas,1
P,P,Dd;E,FARAGO',Bol,1
P,P,Dd;E,LAURINI,Par,1
P,P,Dd;E,DEPAOLI,Ben,1
P,P,Dd;E,SALA,Spe,1
P,P,Dd;E,BUSI,Par,1
P,P,Dd;Ds;E,MATTIELLO,Spe,1
P,P,Dd;Ds;E,MBAYE,Bol,1
P,P,Dd;Ds;E,SANTON,Rom,1
P,P,Dd;Ds;Dc,ARMINI,Laz,1
P,P,Dd;Ds;Dc,RRAHMANI,Nap,1
P,P,Dd;Dc;E,BIRASCHI,Gen,1
P,P,Dd;Dc,CALABRESI,Cag,1
P,P,Dc,ROMAGNA,Sas,1
P,P,Dc,MARRONE,Cro,1
P,P,Dc,FAZIO,Rom,1
P,P,Dc,CAPRADOSSI,Spe,1
P,P,Dc,PRODL,Udi,1
P,P,Dc,AMIONE,Ver,1
P,P,Dc,FERIGRA,Tor,1
P,P,Dc,BALOGH,Par,1
P,P,Dc,DRAGUSIN,Juv,1
P,P,Dc,DIERCKX,Par,1
P,P,Dc,ANTOV,Bol,1
P,P,C;T,BALDURSSON,Bol,1
P,P,C;T,BENASSI,Ver,1
P,P,C,ASKILDSEN,Sam,1
P,P,C,PALUMBO,Udi,1
P,P,C,PETRICCIONE,Cro,1
P,P,C,NICOLUSSI CAVIGLIA,Par,1
P,P,C,PORTANOVA,Gen,1
P,P,C,EBOA EBONGUE,Gen,1
P,P,A,JUWARA,Bol,1
P,P,A,LUVUMBO,Cag,1
P,P,A,MALES,Gen,1
P,P,A,SCHIAPPACASSE,Sas,1
P,P,A,MORO,Laz,1
P,P,A,RABBI,Bol,1
P,P,A,AKE' M.,Juv,1
P,P,Pc,PELLE',Par,9
